no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,bookImageURL,bookDtlUrl,loan_count
1939,1937,천재 의사 시건방 :슈퍼 초능력 판타지,글: 강효미 ;그림: 유영근,머스트비,2024,9791160342352,74810.0,2.0,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/35145/38/cover200/k872934912_1.jpg,https://data4library.kr/bookV?seq=6974343,659
1940,1937,포도와 모래 괴물 ,사토 메구미 지음 ;황진희 옮김,올리,2022,9791190931670,77830.0,,833.6,문학 > 일본문학 > 소설,https://image.aladin.co.kr/product/30027/12/cover/k722838558_1.jpg,https://data4library.kr/bookV?seq=6550244,659
1941,1941,구름빵 콩닥콩닥 거짓말 ,"글·그림: GIMC,김향수",한솔교육,2012,9788953583986,74800.0,6.0,813.7,문학 > 한국문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/068/312/06831226.jpg?type=m1&udate=20160331,https://data4library.kr/bookV?seq=2373881,658
1942,1941,이처럼 사소한 것들 :클레어 키건 소설 ,지은이: 클레어 키건 ;옮긴이: 홍한별,다산북스,2024,9791130650616,3840.0,,843.6,문학 > 영미문학 > 소설,https://image.aladin.co.kr/product/33563/30/cover/k532939881_1.jpg,https://data4library.kr/bookV?seq=6841557,658
1943,1941,왔구마 :고구마구마,"글: 조주희,이두희",킨더랜드,2023,9791170820888,74810.0,8.0,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/35395/51/cover200/k722035913_1.jpg,https://data4library.kr/bookV?seq=6988309,658
1944,1941,레드클로버 =Red clover ,마사키 도시카 지음 ;이다인 옮김,허밍북스,2024,9791198183071,3830.0,,833.6,문학 > 일본문학 > 소설,https://image.aladin.co.kr/product/33362/27/cover/k932938904_1.jpg,https://data4library.kr/bookV?seq=6830051,658
1945,1945,풀잎 국수 ,글·그림: 백유연,웅진씽크빅,2020,9788901244617,74810.0,63.0,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/24929/32/cover/8901244616_1.jpg,https://data4library.kr/bookV?seq=5742033,657
1946,1945,선녀와 나무꾼 ,글: 오윤선 ;그림: 최정인,그레이트kids(그레이트키즈),2016,9788927185864,74810.0,11.0,813.5,문학 > 한국문학 > 소설,,https://data4library.kr/bookV?seq=3141216,657
1947,1945,칭찬 먹으러 가요 ,글: 고대영 ;그림: 김영진,길벗어린이,2012,9788955821970,77810.0,8.0,813.7,문학 > 한국문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/068/274/06827420.jpg?type=m1&udate=20170609,https://data4library.kr/bookV?seq=2372759,657
1948,1945,조인계획 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,현대문학,2022,9791167900869,3830.0,,833.6,문학 > 일본문학 > 소설,https://image.aladin.co.kr/product/28818/85/cover/k712836495_1.jpg,https://data4library.kr/bookV?seq=6398903,657
1949,1949,임금님 귀는 당나귀 귀 ,글: 정민지 ;그림: 김창희,그레이트kids(그레이트키즈),2016,9788927186090,74810.0,34.0,813.5,문학 > 한국문학 > 소설,,https://data4library.kr/bookV?seq=3141239,656
