no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,bookImageURL,bookDtlUrl,loan_count
1578,1577,츠바키 문구점 :오가와 이토 장편소설 ,지은이: 오가와 이토 ;옮긴이: 권남희,위즈덤하우스 미디어그룹,2017,9788959135172,03830,,833.6,문학 > 일본문학 > 소설,https://image.aladin.co.kr/product/11738/45/cover/8959135178_1.jpg,https://data4library.kr/bookV?seq=3605593,750
1579,1577,복면공주,"샤넌 헤일,윤영 옮김",다산북스,2022,9791130681078,74840,1,843,문학 > 영미문학 > 소설,https://image.aladin.co.kr/product/29286/86/cover/k052837004_1.jpg,https://data4library.kr/bookV?seq=6445437,750
1580,1577,이상한 무인 문구점 ,서아람 글 ;안병현 그림,라곰스쿨,2023,9791189686895,77810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/32727/79/cover/k842936979_1.jpg,https://data4library.kr/bookV?seq=6778798,750
1581,1577,감정 레스토랑 ,글: 신은영 ;그림: 메,소원나무,2023,9791193207192,74800,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/32736/52/cover/k042936076_1.jpg,https://data4library.kr/bookV?seq=6779438,750
1582,1577,아라의 소설 :정세랑 미니픽션 ,지은이: 정세랑,안온(안온북스),2022,9791197873065,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/29980/87/cover/k172838246_1.jpg,https://data4library.kr/bookV?seq=6543167,750
1583,1583,시계태엽 오렌지,앤서니 버지스 지음;박시영 옮김,민음사,2005,9788937461125,04800,112,843,문학 > 영미문학 > 소설,http://image.aladin.co.kr/product/53/66/cover/8937461129_2.jpg,https://data4library.kr/bookV?seq=2404470,749
1584,1583,계란 좀 빌려줄래요 ,장수경 지음,뜨인돌출판,2023,9788958070009,77810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/33061/26/cover/8958070005_1.jpg,https://data4library.kr/bookV?seq=2927654,749
1585,1583,두근두근 첫 심부름 ,박정희 글 ;박세연 그림,제제의숲,2023,9791158732752,77810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/32573/60/cover/k842935140_1.jpg,https://data4library.kr/bookV?seq=6770893,749
1586,1586,말이야와 친구들 =Mari and friends,원작: 말이야와 친구들 ;그림: 이혜림,주니어김영사,2021,9788934911036,77810,3,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/28045/66/cover/8934911034_1.jpg,https://data4library.kr/bookV?seq=6312253,748
1587,1586,기차를 타요 ,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2018,9791158360641,77830,32,833.6,문학 > 일본문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/134/652/13465289.jpg?type=m1&udate=20180619,https://data4library.kr/bookV?seq=3733796,748
